filename,width,height,class,xmin,ymin,xmax,ymax
559a81baaab7e2df_jpg.rf.0bc1bffd2f9803ae32bf80c1fcecf885.jpg,240,240,Motorcycle,115,57,150,106
559a81baaab7e2df_jpg.rf.0bc1bffd2f9803ae32bf80c1fcecf885.jpg,240,240,Motorcycle,117,54,171,219
559a81baaab7e2df_jpg.rf.0bc1bffd2f9803ae32bf80c1fcecf885.jpg,240,240,Motorcycle,189,49,207,76
c0e2ca0a63cc7aac_jpg.rf.010de6ef5432ef6732920401dee3beca.jpg,240,240,Bus,86,120,177,183
1ce4f78534c54bc2_jpg.rf.09404194b93e8ebca93b97c13cbde9b6.jpg,240,240,Bus,1,63,240,208
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,32,39,218,203
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,0,35,100,150
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,78,35,101,58
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,99,36,132,63
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,191,37,222,70
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,232,50,239,75
7654aaa60913d6a2_jpg.rf.076eba6c2d7783d94f0983c7970ee013.jpg,240,240,Car,233,33,239,51
1d3c0507e127f1ea_jpg.rf.053ba1c5ea96867f27cdef04df0997b7.jpg,240,240,Motorcycle,71,110,203,240
040d25a99e7b675b_jpg.rf.06aa728de50a372031fa3d31f1c7e586.jpg,240,240,Ambulance,1,133,150,219
214e9577f1bc9e1a_jpg.rf.23692c50eb2902a58f45786099827c1c.jpg,240,240,Motorcycle,9,64,76,170
214e9577f1bc9e1a_jpg.rf.23692c50eb2902a58f45786099827c1c.jpg,240,240,Motorcycle,53,34,130,193
214e9577f1bc9e1a_jpg.rf.23692c50eb2902a58f45786099827c1c.jpg,240,240,Motorcycle,134,0,215,239
48763535bbf4e21f_jpg.rf.0248f481a532e5981545ef36a28cc7d3.jpg,240,240,Bus,0,0,239,239
eaa621be0a24470e_jpg.rf.11e542ad630bec2467e2551f8b411710.jpg,240,240,Bus,36,63,201,213
846d94cce4386166_jpg.rf.08e782812321d8bc078a0dd942fbd00a.jpg,240,240,Car,106,5,234,227
a238a0fee56f0d0c_jpg.rf.0cba518befa2018063fe48b83a87c458.jpg,240,240,Ambulance,210,151,239,235
3061a0dcab735c59_jpg.rf.224ba4c37a35e077dcab3e274f055f69.jpg,240,240,Car,33,78,202,221
8d0f8a2eb446328a_jpg.rf.13315ff4796003487dd0430bb1020a41.jpg,240,240,Bus,0,124,45,154
8d0f8a2eb446328a_jpg.rf.13315ff4796003487dd0430bb1020a41.jpg,240,240,Bus,41,109,164,174
0ca61e55ccf257ba_jpg.rf.17501c321bfe8b19ca05a23940469645.jpg,240,240,Truck,102,200,169,227
0ca61e55ccf257ba_jpg.rf.17501c321bfe8b19ca05a23940469645.jpg,240,240,Truck,166,198,218,232
0b5890eed288c58e_jpg.rf.1ef5fafdea00a2399cc64efaf17a2c1f.jpg,240,240,Bus,0,27,185,240
a24ece83e775a4de_jpg.rf.0e64385e502c2e8d0a3206abbb9e926b.jpg,240,240,Car,66,19,173,132
a24ece83e775a4de_jpg.rf.0e64385e502c2e8d0a3206abbb9e926b.jpg,240,240,Car,0,62,7,99
a24ece83e775a4de_jpg.rf.0e64385e502c2e8d0a3206abbb9e926b.jpg,240,240,Car,48,60,64,76
a24ece83e775a4de_jpg.rf.0e64385e502c2e8d0a3206abbb9e926b.jpg,240,240,Car,168,39,187,63
c7628592a03f9ff4_jpg.rf.1d636a287e87b41827d48bd484084770.jpg,240,240,Motorcycle,23,33,220,199
00e481ea1a520175_jpg.rf.23eb344f2b1b403bdf9849c79bd593af.jpg,240,240,Bus,0,65,78,164
00e481ea1a520175_jpg.rf.23eb344f2b1b403bdf9849c79bd593af.jpg,240,240,Bus,52,31,216,208
00e481ea1a520175_jpg.rf.23eb344f2b1b403bdf9849c79bd593af.jpg,240,240,Bus,211,22,240,211
11b0e2dddc393e74_jpg.rf.2338df93b546bb49a3f2ad571908e721.jpg,240,240,Motorcycle,47,0,233,199
0a03d85b3dcb2a1b_jpg.rf.258b6e18403a3581953537bcc9acf62a.jpg,240,240,Car,0,176,65,239
0a03d85b3dcb2a1b_jpg.rf.258b6e18403a3581953537bcc9acf62a.jpg,240,240,Car,52,112,97,147
2c21c734126f9f69_jpg.rf.1deb97b8417e9983701cb7f9d0971788.jpg,240,240,Ambulance,98,124,151,197
2c21c734126f9f69_jpg.rf.1deb97b8417e9983701cb7f9d0971788.jpg,240,240,Truck,173,155,239,239
38a29a2b08ad3603_jpg.rf.27af4ef5d8ff319808ca296917deadd2.jpg,240,240,Car,0,156,57,236
38a29a2b08ad3603_jpg.rf.27af4ef5d8ff319808ca296917deadd2.jpg,240,240,Car,124,195,165,239
aed83d879a22a6c4_jpg.rf.29062b7d7fcc8d45aceb533c42db1d88.jpg,240,240,Motorcycle,20,68,97,155
image_0490_jpg.rf.2f5d73a48587fa5f124f8972788f7fe0.jpg,240,240,Car,64,68,203,209
image_0490_jpg.rf.2f5d73a48587fa5f124f8972788f7fe0.jpg,240,240,Car,84,57,101,81
image_0490_jpg.rf.2f5d73a48587fa5f124f8972788f7fe0.jpg,240,240,Truck,167,53,190,85
image_0490_jpg.rf.2f5d73a48587fa5f124f8972788f7fe0.jpg,240,240,Truck,189,17,239,123
image_0490_jpg.rf.2f5d73a48587fa5f124f8972788f7fe0.jpg,240,240,Car,5,64,47,95
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,3,109,20,170
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,10,105,82,180
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,70,104,119,176
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,131,98,189,200
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,176,106,232,180
020fcce8dd0c0653_jpg.rf.26306ab3d7753e28381b15beb09a2e90.jpg,240,240,Bus,228,110,238,167
07a108f07e99070b_jpg.rf.2de31564c37f0b65c5cd41e9f1361a3c.jpg,240,240,Bus,59,157,112,179
bdc6ddcd3b5129bb_jpg.rf.36dcb2faffeccdfe70fe74c6f1f602b0.jpg,240,240,Bus,24,94,90,175
bdc6ddcd3b5129bb_jpg.rf.36dcb2faffeccdfe70fe74c6f1f602b0.jpg,240,240,Bus,83,79,240,203
9ead2683d36b6457_jpg.rf.282b04eb598c2efd822fc7fbbb9417a0.jpg,240,240,Car,156,27,234,97
9ead2683d36b6457_jpg.rf.282b04eb598c2efd822fc7fbbb9417a0.jpg,240,240,Truck,24,47,196,205
ce21b1595f7f0cfb_jpg.rf.361f36bbbab7e8a69f606c8845c92d41.jpg,240,240,Car,24,112,159,216
0a56ee41a72480bc_jpg.rf.402e3b936faf37d70ff5359cb3de063f.jpg,240,240,Truck,0,123,239,239
39fac0e910b58065_jpg.rf.32443668ae0a36994153d00b6753a603.jpg,240,240,Car,155,153,177,170
39fac0e910b58065_jpg.rf.32443668ae0a36994153d00b6753a603.jpg,240,240,Car,169,153,195,171
532953d0fc03d7ac_jpg.rf.405d8c3accd5c30dbd35ada60627de20.jpg,240,240,Car,0,6,29,30
532953d0fc03d7ac_jpg.rf.405d8c3accd5c30dbd35ada60627de20.jpg,240,240,Car,18,23,222,201
532953d0fc03d7ac_jpg.rf.405d8c3accd5c30dbd35ada60627de20.jpg,240,240,Car,125,7,160,27
6f264bba4e43a80d_jpg.rf.4b625a113b5925e3e000248ce14a8756.jpg,240,240,Motorcycle,72,109,196,218
image_0466_jpg.rf.4033e9acb72b10a2e8128f987e42966a.jpg,240,240,Truck,88,43,111,75
image_0466_jpg.rf.4033e9acb72b10a2e8128f987e42966a.jpg,240,240,Car,167,61,180,75
image_0466_jpg.rf.4033e9acb72b10a2e8128f987e42966a.jpg,240,240,Car,0,54,34,88
image_0466_jpg.rf.4033e9acb72b10a2e8128f987e42966a.jpg,240,240,Car,97,65,168,126
